"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPR161",529.65298557376,0.853396434639304,0.171623498017063,4.97249178870866,6.60977716886058e-07,5.74664641301448e-05
"RHOQ",8949.89111693362,0.232434214448665,0.152503878842862,1.52412001722371,0.127478733171442,0.468352619002175
"TARDBP",3024.49415818976,-0.137401676700363,0.147770408305649,-0.929832151618346,0.352457996635002,0.739497480697464
"HARS2",556.657609780195,-0.0813425531580553,0.227783059113751,-0.357105368039834,0.721012925972389,0.932119688457943
"ATP1B4",12.9475781689876,1.12268766368189,0.710775405757479,1.57952519823815,0.114215641428893,NA
"SLC35A3",575.059248347924,0.136545430134964,0.188254283981994,0.725324424213494,0.468253025318202,0.819959097995458
"SLC44A1",1902.27830813642,0.261726127571853,0.149088753473117,1.75550550577946,0.0791728797295719,0.367572400935512
"SF3B3",1993.41320396263,-0.403965444017541,0.21841352632604,-1.84954407729545,0.0643792893341968,0.32894518426666
"SF3B1",12432.9644951975,0.00121152585418688,0.10866664796625,0.0111490128467308,0.99110455906639,0.997216286791668
"ABCB10",1051.32603591238,-0.0439642955644853,0.155791935378514,-0.282198789415313,0.777791086522134,0.949088502125287
"ABCA6",561.163812454926,0.566115463613343,0.365818142843478,1.54753249582694,0.121734894826945,0.459582989630346
"ABCA5",370.118857952202,0.157767613717542,0.22877600402765,0.689616091460687,0.490435645318335,0.831423138540662
"HEY1",114.432060913754,1.44369384679615,0.501224849905624,2.88033174545912,0.00397256925251191,0.0587792203312663
"ICMT",513.447561223568,-0.400161284610263,0.250594861778939,-1.59684552895288,0.110300144313712,0.433163540692591
"CBX6",3287.72018506152,-0.0335975017076757,0.313732228108095,-0.107089736716815,0.914717789257375,0.982789427011058
"CBX5",611.615495017801,-0.460999067662496,0.343909301036867,-1.34046699601497,0.180093567302665,0.554717993313174
"PHF3",1801.80963409625,-0.260775373107825,0.175049946549187,-1.48971980996606,0.136297923600752,0.484442448907242
"TRAM1",16713.8320925631,0.252507587420863,0.163230699717357,1.54693686823676,0.121878469706866,0.459687920417504
"CAPN7",1223.4157809927,-0.0282923311797621,0.161314359635768,-0.175386315537212,0.860776092548978,0.971581823583346
"ETHE1",275.774003585555,0.0792418222923403,0.195879322324081,0.404544090474416,0.685812662495095,0.919082126768488
"QPRT",955.077625081059,0.229140069768673,0.277450254492723,0.825878030595509,0.408873284222696,0.780713319714096
"BRD4",3232.02102382161,0.0530838593147071,0.122384685071188,0.433745932212266,0.664472947956493,0.909298860651401
"SEC11A",2290.73388746308,0.0531307375338763,0.242103021962357,0.219455077855811,0.826295569584534,0.962902803321119
"ISCU",867.812074204268,0.16285922472573,0.387959983713669,0.419783564188227,0.674643572728025,0.914053610651271
"SEC61G",669.679066372484,0.134954698801708,0.172579989956328,0.781983466541276,0.434224290224401,0.797048161637054
"PES1",797.783968496129,-0.84499305911799,0.271768986768932,-3.10923284206978,0.00187573833048115,0.0346386345028853
"TGDS",271.174118255281,-0.186734117025766,0.325676378862059,-0.57337322921064,0.566392012445256,0.869991603329533
"LEPROTL1",593.731869786183,0.0522248178095205,0.270220736481746,0.193267246953301,0.8467496758609,0.968179208373749
"CES3",86.148131173496,-0.040672319254686,0.384637438568375,-0.105741966788436,0.915787082305493,0.982962957316458
"CBX7",73.0228091052255,0.313144719535368,0.538540621569383,0.581469079570676,0.560924351765176,0.867684409594157
"HAAO",98.1720688500877,0.356002086226084,0.267299610587592,1.33184663248667,0.182910590769236,0.559003379304389
